id,session_id,timestamp,signal_type,frequency,bandwidth,rssi,antenna_id,location
7396,room01_20250709_151402,2025-07-09 14:14:15.803207,ADS-B 1090,1090,1,-27.93485428504544,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7397,room01_20250709_151402,2025-07-09 14:14:15.803207,LTE 1800,1710,1,-31.264737632652285,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7398,room01_20250709_151402,2025-07-09 14:14:15.803207,LTE 1800,1722,1,-34.64589155116,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7399,room01_20250709_151402,2025-07-09 14:14:15.803207,LTE 1800,1735,1,-36.22776025863172,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7400,room01_20250709_151402,2025-07-09 14:14:15.803207,LTE 1800,1748,1,-36.76322646479364,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7401,room01_20250709_151402,2025-07-09 14:14:15.803207,LTE 1800,1760,1,-36.7746948337535,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7402,room01_20250709_151402,2025-07-09 14:14:18.804918,RC Low Band,27,1,-24.0950243800766,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7403,room01_20250709_151402,2025-07-09 14:14:18.804918,RC Aircraft,35,1,-22.997847097088226,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7404,room01_20250709_151402,2025-07-09 14:14:18.804918,RC Ground,40,1,-23.34759104378294,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7405,room01_20250709_151402,2025-07-09 14:14:18.804918,TETRA / Emergency,380,1,-6.6691818521733115,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7406,room01_20250709_151402,2025-07-09 14:14:18.804918,TETRA / Emergency,385,1,-7.419479596931859,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7407,room01_20250709_151402,2025-07-09 14:14:18.804918,TETRA / Emergency,390,1,-7.337831699963838,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7408,room01_20250709_151402,2025-07-09 14:14:18.804918,TETRA / Emergency,395,1,-5.724202960287325,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7409,room01_20250709_151402,2025-07-09 14:14:18.804918,TETRA / Emergency,400,1,-6.535814015803373,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7410,room01_20250709_151402,2025-07-09 14:14:18.804918,LoRa / ISM 433,433,1,-5.108318529161153,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7411,room01_20250709_151402,2025-07-09 14:14:18.804918,ISM 868,869,1,-10.994566970198132,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7412,room01_20250709_151402,2025-07-09 14:14:18.804918,GSM 900 UL,880,1,-22.335982142165793,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7413,room01_20250709_151402,2025-07-09 14:14:18.804918,GSM 900 UL,889,1,-22.65684280668018,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7414,room01_20250709_151402,2025-07-09 14:14:18.804918,GSM 900 UL,898,1,-20.17580517545902,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7415,room01_20250709_151402,2025-07-09 14:14:18.804918,GSM 900 UL,906,1,-17.166840011461257,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7416,room01_20250709_151402,2025-07-09 14:14:18.804918,GSM 900 UL,915,1,-17.932714272399107,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7417,room01_20250709_151402,2025-07-09 14:14:18.804918,GSM 900 DL,925,1,-14.27693880191743,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7418,room01_20250709_151402,2025-07-09 14:14:18.804918,GSM 900 DL,934,1,-8.628192180168616,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7419,room01_20250709_151402,2025-07-09 14:14:18.804918,GSM 900 DL,942,1,-13.085937021759786,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7420,room01_20250709_151402,2025-07-09 14:14:18.804918,GSM 900 DL,951,1,-26.312702570327318,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7421,room01_20250709_151402,2025-07-09 14:14:18.804918,GSM 900 DL,960,1,-18.403596686723454,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7422,room01_20250709_151402,2025-07-09 14:14:18.804918,FM Radio,88,1,-16.399014931954245,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7423,room01_20250709_151402,2025-07-09 14:14:18.804918,FM Radio,93,1,-11.105327034979233,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7424,room01_20250709_151402,2025-07-09 14:14:18.804918,FM Radio,98,1,-6.953396189757171,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7425,room01_20250709_151402,2025-07-09 14:14:18.804918,FM Radio,103,1,-11.957709555430238,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7426,room01_20250709_151402,2025-07-09 14:14:18.804918,FM Radio,108,1,-15.697268846721371,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7427,room01_20250709_151402,2025-07-09 14:14:18.804918,Airband (AM),118,1,-17.124234637734105,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7428,room01_20250709_151402,2025-07-09 14:14:18.804918,Airband (AM),123,1,-10.62752271447426,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7429,room01_20250709_151402,2025-07-09 14:14:18.804918,Airband (AM),128,1,-8.676629900057904,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7430,room01_20250709_151402,2025-07-09 14:14:18.804918,Airband (AM),132,1,-10.934381400545131,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7431,room01_20250709_151402,2025-07-09 14:14:18.804918,Airband (AM),137,1,-15.572780344448937,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7432,room01_20250709_151402,2025-07-09 14:14:18.804918,AIS / Marine,162,1,-20.905283775064305,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7433,room01_20250709_151402,2025-07-09 14:14:18.804918,ADS-B 1090,1090,1,-27.604262403121425,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7434,room01_20250709_151402,2025-07-09 14:14:18.804918,LTE 1800,1710,1,-33.7073534982773,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7435,room01_20250709_151402,2025-07-09 14:14:18.804918,LTE 1800,1722,1,-34.59016962891993,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7436,room01_20250709_151402,2025-07-09 14:14:18.804918,LTE 1800,1735,1,-36.25851661984953,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7437,room01_20250709_151402,2025-07-09 14:14:18.804918,LTE 1800,1748,1,-35.949542920406145,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7438,room01_20250709_151402,2025-07-09 14:14:18.804918,LTE 1800,1760,1,-36.72347735751282,rtl-sdr-1,0101000020110F00000000000048A6E8BF0000000010F7DABF
7439,room01_20250709_151402,2025-07-09 14:14:21.716781,RC Low Band,27,1,-24.147147486394843,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7440,room01_20250709_151402,2025-07-09 14:14:21.716781,RC Aircraft,35,1,-22.902122186096292,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
